pdf_page,image_index,xref,caption_tag,filename,format,width_px,height_px,score
1,1,22,,p001_img01.jpeg,jpeg,402,114,
5,1,123,Scratch abrasion,p005_scratch_abrasion.jpeg,jpeg,247,436,44.8
5,2,125,over a wide area,p005_over_a_wide_area.jpeg,jpeg,232,112,25.8
5,3,127,abrasion displays the pattern,p005_abrasion_displays_the_pattern.jpeg,jpeg,200,230,9.5
5,4,129,Pressure abrasion,p005_pressure_abrasion.jpeg,jpeg,611,378,34.9
6,1,174,Contusion,p006_contusion.jpeg,jpeg,342,241,-41.0
6,2,160,Wound,p006_wound.jpeg,jpeg,438,230,-31.9
7,1,179,Black eye sign,p007_black_eye_sign.jpeg,jpeg,206,180,-40.9
7,2,181,Battle sign,p007_battle_sign.jpeg,jpeg,302,329,-41.0
8,1,198,Crushed,p008_crushed.jpeg,jpeg,156,176,-24.5
8,2,200,Crushed,p008_crushed_2.jpeg,jpeg,172,172,17.8
8,3,192,Swallow tailing,p008_swallow_tailing.jpeg,jpeg,497,547,-41.0
8,4,196,Tailing,p008_tailing.jpeg,jpeg,243,254,-41.0
9,1,219,Split laceration,p009_split_laceration.jpeg,jpeg,309,407,-28.6
9,2,221,Split laceration,p009_split_laceration_2.jpeg,jpeg,353,306,-23.0
9,3,223,Degloving injury,p009_degloving_injury.jpeg,jpeg,302,296,-47.0
9,4,213,Hesitation cuts,p009_hesitation_cuts.jpeg,jpeg,529,307,-41.0
9,5,217,Bevelling,p009_bevelling.jpeg,jpeg,394,223,-41.0
10,1,244,Hilt mark,p010_hilt_mark.jpeg,jpeg,372,303,-33.8
10,2,248,Single edge knife,p010_single_edge_knife.jpeg,jpeg,233,375,-8.7
10,3,238,Langer lines,p010_langer_lines.jpeg,jpeg,297,329,-30.0
10,4,242,Hara-kiri,p010_hara_kiri.jpeg,jpeg,261,311,-35.0
11,1,283,Chop wound,p011_chop_wound.jpeg,jpeg,250,330,-50.0
11,2,261,Heavy sharp weapon,p011_heavy_sharp_weapon.jpeg,jpeg,198,392,-30.0
11,3,270,web space,p011_web_space.jpeg,jpeg,234,309,-15.9
11,4,277,Passive,p011_passive.jpeg,jpeg,297,223,-0.1
11,5,281,Fissure fracture,p011_fissure_fracture.jpeg,jpeg,311,332,37.8
12,1,312,Skull Base Fractures,p012_skull_base_fractures.jpeg,jpeg,230,246,3.4
12,2,314,Soft skull,p012_soft_skull.jpeg,jpeg,475,325,17.9
12,3,316,Soft skull,p012_soft_skull_2.jpeg,jpeg,306,323,30.7
12,4,318,Pond fracture,p012_pond_fracture.jpeg,jpeg,377,274,30.1
12,5,296,Diastatic fracture,p012_diastatic_fracture.jpeg,jpeg,363,258,33.0
12,6,306,Ring fracture,p012_ring_fracture.jpeg,jpeg,411,376,-47.0
12,7,310,Type I hinge fracture,p012_type_i_hinge_fracture.jpeg,jpeg,378,453,-47.0
13,1,331,fracture line,p013_fracture_line.jpeg,jpeg,242,245,4.0
