pdf_page,image_index,filename
60,1,p060_img01_aa04272112.jpeg
60,2,p060_img02_f515f783ac.jpeg
61,1,p061_img01_787f215292.jpeg
61,2,p061_img02_06d00d75cd.jpeg
62,1,p062_img01_82f0040ada.jpeg
62,2,p062_img02_5c861b0dd5.jpeg
62,3,p062_img03_0fe4b6cbb3.jpeg
62,4,p062_img04_7dbd738ec1.jpeg
62,5,p062_img05_b1005957bb.jpeg
63,1,p063_img01_63b45879e5.jpeg
63,2,p063_img02_2522e1361f.jpeg
63,3,p063_img03_de00c22ef0.jpeg
63,4,p063_img04_ef6164875f.jpeg
63,5,p063_img05_f4f3cb7ee7.png
63,6,p063_img06_1c76440eff.jpeg
63,7,p063_img07_51895bc781.jpeg
63,8,p063_img08_962f8aeb9e.jpeg
64,1,p064_img01_1781ea5261.jpeg
64,2,p064_img02_92e26c07cf.jpeg
64,3,p064_img03_0dc9d02525.jpeg
64,4,p064_img04_bd00b34f27.jpeg
64,5,p064_img05_fe593efafa.png
64,6,p064_img06_f538e8b5e2.jpeg
64,7,p064_img07_abac330ffc.jpeg
66,1,p066_img01_702f19facf.jpeg
66,2,p066_img02_c6673f9c3e.jpeg
66,3,p066_img03_77e1041160.jpeg
66,4,p066_img04_fced9e1c5b.jpeg
66,5,p066_img05_0828e52a5a.jpeg
67,1,p067_img01_09bd429ab3.png
67,2,p067_img02_47e02218a0.jpeg
68,1,p068_img01_ddafbf2f85.jpeg
68,2,p068_img02_49959d2aa2.jpeg
68,3,p068_img03_8d6dbb98d2.jpeg
68,4,p068_img04_6a9c3c4291.jpeg
72,1,p072_img01_6d0c882569.jpeg
75,1,p075_img01_23173c7ff0.jpeg
75,2,p075_img02_262a005874.jpeg
75,3,p075_img03_f50bc77bd8.png
75,4,p075_img04_01bc2529d3.jpeg
75,5,p075_img05_c761d1046c.jpeg
75,6,p075_img06_1353319c44.jpeg
77,1,p077_img01_231059f4b3.jpeg
77,2,p077_img02_b71c8b51df.jpeg
77,3,p077_img03_64a1a8a943.jpeg
79,1,p079_img01_2242758549.jpeg
79,2,p079_img02_73f6fa0afe.jpeg
80,1,p080_img01_f9b4fb5a46.jpeg
80,2,p080_img02_acbc1112b8.jpeg
81,1,p081_img01_bdbd604f44.jpeg
82,1,p082_img01_4a2532232d.jpeg
82,2,p082_img02_f5d67514c8.jpeg
82,3,p082_img03_e447893511.jpeg
83,1,p083_img01_40123a4b14.jpeg
83,2,p083_img02_8c0ebcd327.jpeg
83,3,p083_img03_d55bdb5621.png
84,1,p084_img01_cacff6ccad.jpeg
84,2,p084_img02_c3c5a84e3a.jpeg
84,3,p084_img03_e61eb5e3f3.jpeg
84,4,p084_img04_55f06d596c.jpeg
84,5,p084_img05_4c953dc16d.jpeg
84,6,p084_img06_b46888bc73.jpeg
85,1,p085_img01_355100d656.jpeg
85,2,p085_img02_0c5f830c70.jpeg
85,3,p085_img03_fab7e4963f.jpeg
85,4,p085_img04_eaf81cb808.jpeg
86,1,p086_img01_f9f9c69f16.jpeg
86,2,p086_img02_05396d23f9.jpeg
86,3,p086_img03_759b7f72ee.jpeg
86,4,p086_img04_38400d4ab4.jpeg
86,5,p086_img05_8bb37083fd.jpeg
86,6,p086_img06_c515925f56.jpeg
87,1,p087_img01_23b39a6b56.jpeg
89,1,p089_img01_1905dac271.jpeg
89,2,p089_img02_4f1da6f7d7.jpeg
90,1,p090_img01_5f698471b6.jpeg
90,2,p090_img02_74c8ef84fd.jpeg
90,3,p090_img03_3ea25e6a69.jpeg
90,4,p090_img04_1531fa0098.jpeg
90,5,p090_img05_6a96f0b404.jpeg
90,6,p090_img06_df38233e80.jpeg
91,1,p091_img01_43782c5cad.jpeg
91,2,p091_img02_9c8fd71b51.jpeg
92,1,p092_img01_cb200d6311.jpeg
93,1,p093_img01_87333f0530.jpeg
93,2,p093_img02_d263cbe776.jpeg
94,1,p094_img01_53d003f98e.jpeg
94,2,p094_img02_5d23628aa5.jpeg
94,3,p094_img03_9edb8be77f.jpeg
94,4,p094_img04_8cdd22fb5c.jpeg
94,5,p094_img05_679f6191b5.jpeg
94,6,p094_img06_4278e75c80.jpeg
94,7,p094_img07_f23e0af0d3.jpeg
95,1,p095_img01_9e8185e60f.jpeg
95,2,p095_img02_2dffa8b736.jpeg
96,1,p096_img01_8a18f7c461.jpeg
96,2,p096_img02_98a2851eea.jpeg
96,3,p096_img03_2143448aef.jpeg
